file_name,file_size,score,strategy,tenpo_id,tenpo_name,torihikisaki_id,torihikisaki_name,zip_path
鮨 輝らく(分割払い分)_利用者申込書.docx,10345,92.0,tenpo,TENPO#0031,鮨 輝らく,TORI#0018,株式会社クラフトマスタージャパン,店舗ごと契約書/株式会社クラフトマスタージャパン/鮨 輝らく(分割払い分)_利用者申込書.docx
Bar 灯鏡 tokyo 歌舞伎町レッドのれん街_利用者申込書.docx.docx,10628,92.0,torihikisaki,TENPO#77f42e59665b,N,TORI#950551f38416,T,店舗ごと契約書/株式会社スモールズ/Bar 灯鏡 tokyo 歌舞伎町レッドのれん街_利用者申込書.docx.docx
オイスター&珍味 bar 不夜城_利用者申込書.docx.docx,10637,92.0,tenpo,TENPO#0106,オイスター&珍味 bar 不夜城,TORI#0049,株式会社スモールズ,店舗ごと契約書/株式会社スモールズ/オイスター&珍味 bar 不夜城_利用者申込書.docx.docx
Japanese Bar 猪鹿蝶_利用者申込書.docx.docx,10611,92.0,tenpo,TENPO#77f42e59665b,N,TORI#950551f38416,T,店舗ごと契約書/株式会社スモールズ/Japanese Bar 猪鹿蝶_利用者申込書.docx.docx
0秒レモンサワー 仙台ホルモン焼肉酒場 ときわ亭 渋谷店_利用者申込書.docx.docx,10538,92.0,tenpo,TENPO#0014,渋谷店,TORI#0011,GOSSO株式会社,店舗ごと契約書/株式会社GOSSO/0秒レモンサワー 仙台ホルモン焼肉酒場 ときわ亭 渋谷店_利用者申込書.docx.docx
0秒レモンサワー 仙台ホルモン焼肉酒場 ときわ亭 池袋東口店_ミセサポ利用者登録申込書.docx,11286,92.0,tenpo,TENPO#0013,池袋東口店,TORI#0011,GOSSO株式会社,店舗ごと契約書/株式会社GOSSO/0秒レモンサワー 仙台ホルモン焼肉酒場 ときわ亭 池袋東口店_ミセサポ利用者登録申込書.docx
CRAFT CHEESE MARKET 渋谷駅前店_ミセサポ利用者登録申込書.docx,11149,92.0,torihikisaki,TENPO#77f42e59665b,N,TORI#950551f38416,T,店舗ごと契約書/株式会社GOSSO/CRAFT CHEESE MARKET 渋谷駅前店_ミセサポ利用者登録申込書.docx
代々木店 炭火焼ホルモンまんてん_利用者申込書.docx,10484,92.0,torihikisaki,TENPO#0023,中野店,TORI#0015,株式会社まんてん,店舗ごと契約書/株式会社まんてん/代々木店 炭火焼ホルモンまんてん_利用者申込書.docx
中野店 炭火焼きホルモンまんてん_利用者申込書.docx,10499,92.0,tenpo,TENPO#0023,中野店,TORI#0015,株式会社まんてん,店舗ごと契約書/株式会社まんてん/中野店 炭火焼きホルモンまんてん_利用者申込書.docx
中目黒本店 炭火焼ホルモンまんてん_利用者申込書.docx,10467,92.0,tenpo,TENPO#0083,本店,TORI#0041,ニーハオ食品株式会社,店舗ごと契約書/株式会社まんてん/中目黒本店 炭火焼ホルモンまんてん_利用者申込書.docx
はなれ新橋3号店 ホルモン屋 だん_利用者申込書.docx.docx,10600,92.0,tenpo,TENPO#0099,はなれ新橋3号店,TORI#0047,株式会社ビック・バン,店舗ごと契約書/株式会社ビック・バン/はなれ新橋3号店 ホルモン屋 だん_利用者申込書.docx.docx
新橋2号店 ホルモン屋 だん_利用者申込書.docx.docx,10593,92.0,tenpo,TENPO#0100,新橋2号店,TORI#0047,株式会社ビック・バン,店舗ごと契約書/株式会社ビック・バン/新橋2号店 ホルモン屋 だん_利用者申込書.docx.docx
生ラムかんな　新橋店_利用者申込書.docx.docx,10572,92.0,tenpo,TENPO#0053,新橋店,TORI#0026,株式会社オン・ザ・プラネット,店舗ごと契約書/株式会社ビック・バン/生ラムかんな　新橋店_利用者申込書.docx.docx
ラムと泡 株式会社ビック・バン_利用者申込書.docx.docx,11168,92.0,torihikisaki,TENPO#0101,新橋総本店,TORI#0047,株式会社ビック・バン,店舗ごと契約書/株式会社ビック・バン/ラムと泡 株式会社ビック・バン_利用者申込書.docx.docx
新橋総本店 ホルモン屋 だん_利用者申込書.docx.docx,10577,92.0,tenpo,TENPO#0101,新橋総本店,TORI#0047,株式会社ビック・バン,店舗ごと契約書/株式会社ビック・バン/新橋総本店 ホルモン屋 だん_利用者申込書.docx.docx
肉汁屋 新橋店　株式会社ビック・バン_利用者申込書.docx.docx,11160,92.0,torihikisaki,TENPO#0101,新橋総本店,TORI#0047,株式会社ビック・バン,店舗ごと契約書/株式会社ビック・バン/肉汁屋 新橋店　株式会社ビック・バン_利用者申込書.docx.docx
Darts Bar A_s  水道橋店_利用者申込書.docx,10515,92.0,torihikisaki,TENPO#77f42e59665b,N,TORI#950551f38416,T,店舗ごと契約書/株式会社 Dart Ace/Darts Bar A_s  水道橋店_利用者申込書.docx
Darts Bar A_s  大塚店_利用者申込書.docx,10511,92.0,torihikisaki,TENPO#77f42e59665b,N,TORI#950551f38416,T,店舗ごと契約書/株式会社 Dart Ace/Darts Bar A_s  大塚店_利用者申込書.docx
Darts Bar A_s  日本橋茅場町店_利用者申込書.docx,10498,92.0,torihikisaki,TENPO#77f42e59665b,N,TORI#950551f38416,T,店舗ごと契約書/株式会社 Dart Ace/Darts Bar A_s  日本橋茅場町店_利用者申込書.docx
Darts Bar A_s  神楽坂店_利用者申込書.docx,10463,92.0,torihikisaki,TENPO#77f42e59665b,N,TORI#950551f38416,T,店舗ごと契約書/株式会社 Dart Ace/Darts Bar A_s  神楽坂店_利用者申込書.docx
Darts Bar A_s  高円寺店_利用者申込書.docx,10510,92.0,torihikisaki,TENPO#77f42e59665b,N,TORI#950551f38416,T,店舗ごと契約書/株式会社 Dart Ace/Darts Bar A_s  高円寺店_利用者申込書.docx
